TransactionID,CustomerID,Amount,Date,Time,Merchant,Location,TransactionType,AccountBalance,DeviceID
TXN000980,CUST0001,967.57,2026-06-05,14:27:01,Entertainment,Germany,Wire Transfer,81650.33,DEV1409
TXN003115,CUST0001,328.56,2026-06-08,01:56:01,Jewelry,USA,Mobile Payment,29604.12,DEV1409
TXN004577,CUST0001,1227.37,2026-06-11,19:19:01,Travel,USA,Wire Transfer,99400.85,DEV1409
TXN002462,CUST0001,1141.57,2026-06-11,19:33:01,Online Shopping,India,Mobile Payment,32006.0,DEV1409
TXN001613,CUST0001,2242.89,2026-06-13,12:30:01,Travel,UAE,Mobile Payment,19251.44,DEV1409
TXN001283,CUST0001,1482.89,2026-06-14,13:35:01,Online Shopping,USA,Mobile Payment,48844.69,DEV1409
TXN003775,CUST0001,92.28,2026-06-15,22:29:01,Entertainment,UAE,POS,87269.69,DEV1409
TXN003792,CUST0001,610.71,2026-06-16,14:55:01,Electronics,UK,Mobile Payment,83962.28,DEV1409
TXN002798,CUST0001,35731.01,2026-06-18,04:49:01,Dining,India,POS,76785.28,DEV1409
TXN004208,CUST0001,2086.95,2026-06-21,05:50:01,Fuel,USA,Online,66236.84,DEV1409
TXN001676,CUST0001,1110.04,2026-06-22,00:43:01,Online Shopping,Australia,Online,88702.51,DEV1409
TXN001428,CUST0001,159.5,2026-06-22,01:31:01,Jewelry,India,ATM,62919.72,DEV1409
TXN001884,CUST0001,25758.91,2026-06-23,01:42:01,Grocery,Germany,POS,51284.4,DEV1409
TXN003769,CUST0001,779.8,2026-06-24,23:22:01,Fuel,UAE,Mobile Payment,39151.25,DEV1409
TXN002209,CUST0001,192.27,2026-06-25,00:18:01,ATM Withdrawal,India,Mobile Payment,38313.43,DEV1409
TXN000562,CUST0001,2585.13,2026-06-27,05:25:01,Grocery,Australia,Online,43739.83,DEV1409
TXN000361,CUST0001,883.03,2026-06-27,15:09:01,Online Shopping,Singapore,POS,5532.03,DEV1409
TXN002478,CUST0001,611.98,2026-06-28,08:27:01,Electronics,Australia,POS,84101.66,DEV1409
TXN004875,CUST0001,1981.93,2026-06-28,22:12:01,Jewelry,Germany,Wire Transfer,97443.44,DEV1409
TXN004912,CUST0001,29213.58,2026-06-30,04:47:01,ATM Withdrawal,UAE,Wire Transfer,63333.25,DEV1409
TXN000787,CUST0001,1797.62,2026-06-30,09:35:01,Jewelry,Australia,ATM,84401.43,DEV1409
TXN000890,CUST0001,1904.99,2026-07-01,04:19:01,Grocery,Australia,ATM,68115.01,DEV1409
TXN001698,CUST0001,1994.11,2026-07-01,08:14:01,Utilities,USA,Mobile Payment,43980.67,DEV1409
TXN004018,CUST0002,836.85,2026-06-03,04:25:01,Entertainment,Germany,Wire Transfer,41951.94,DEV5012
TXN000816,CUST0002,1668.53,2026-06-03,05:19:01,Fuel,USA,Wire Transfer,20245.94,DEV4657
TXN004571,CUST0002,1073.3,2026-06-04,07:43:01,Utilities,UAE,ATM,31581.66,DEV4657
TXN004000,CUST0002,1222.05,2026-06-05,09:36:01,Grocery,UAE,POS,49297.89,DEV5012
TXN002610,CUST0002,2163.14,2026-06-06,00:50:01,Online Shopping,India,Online,14860.69,DEV5012
TXN001185,CUST0002,1471.29,2026-06-07,12:08:01,Online Shopping,Germany,Online,32861.96,DEV4657
TXN001373,CUST0002,2716.38,2026-06-09,19:09:01,Online Shopping,Singapore,POS,95615.46,DEV5012
TXN000801,CUST0002,1719.74,2026-06-10,21:14:01,Dining,India,Wire Transfer,95819.79,DEV5012
TXN002010,CUST0002,1681.08,2026-06-11,02:12:01,Electronics,UK,Mobile Payment,33071.93,DEV5012
TXN004898,CUST0002,2052.02,2026-06-12,08:34:01,ATM Withdrawal,UAE,POS,48984.92,DEV4657
TXN001305,CUST0002,683.44,2026-06-12,18:18:01,Travel,Germany,ATM,85701.89,DEV4657
TXN000392,CUST0002,2841.47,2026-06-13,11:53:01,Dining,UK,ATM,21961.96,DEV5012
TXN000082,CUST0002,1146.82,2026-06-13,23:26:01,Dining,UAE,Mobile Payment,56313.63,DEV4657
TXN001108,CUST0002,2594.83,2026-06-14,12:52:01,Travel,UK,Mobile Payment,50121.37,DEV5012
TXN001907,CUST0002,2836.51,2026-06-16,10:59:01,ATM Withdrawal,Australia,Online,16930.86,DEV4657
TXN003689,CUST0002,854.83,2026-06-18,03:54:01,Utilities,Singapore,Mobile Payment,79444.49,DEV4657
TXN003650,CUST0002,59.55,2026-06-18,04:38:01,Fuel,Singapore,Online,77627.06,DEV4657
TXN000636,CUST0002,1945.26,2026-06-18,10:39:01,Entertainment,UK,ATM,96990.95,DEV5012
TXN003133,CUST0002,1438.3,2026-06-18,14:24:01,Online Shopping,USA,Wire Transfer,61144.97,DEV5012
